"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The.Netherlands","Turkey","United.Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia...Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R..Macedonia","Latvia","Ukraine","Albania","Serbia...Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech.Republic","Montenegro","Azerbaijan","San.Marino","Australia","Macedonia","Netherlands"
"Belgium",0,0.00711111111111106,0.00399999999999997,0.00933333333333327,0.00711111111111106,0.00399999999999997,0.00709373333333292,0,0.0128888888888888,0,0,0,0.00399999999999997,0.00933333333333327,4.0000000001732e-07,0.0145833333333333,0.044335833333331,0.00711111111111106,0,0.00928071111110992,0.00933333333333327,0.00711111111111106,0,0.0111111111111111,0.00399151111111091,0.0694444444444444,0.0111111111111112,0.00399999999999997,0.00880039999999803,0.00392039999999826,0.00888888888888886,0,0.00711111111111106,0.00399999999999997,0.0581691666666631,0,0.00930706666666604,0.0111111111111111,0.00711111111111106,0,0,0.00711111111111106,0.00399999999999997,0.0111111111111112,0.014486736111109,0.0106666666666666,0.0284722222222222,0,0,0.00930706666666604,0.00711111111111106,0,0,0
"Finland",0.0128803999999998,0,0.00933333333333327,0.0159999999999999,0.00711111111111106,0.00711111111111106,0,0,0.00711111111111106,0,0.00888888888888886,0.0145833333333333,0.00933333333333327,0.00399151111111091,0.00399999999999997,0,0.0248933333333311,0.00399999999999997,0,0.0176009333333294,0.00930706666666604,0.00707626666666588,0,0.014486736111109,0.00711111111111106,0.0666666666666667,0,4.0000000001732e-07,0.00711111111111106,0.00933333333333327,0.0106666666666666,0,0.00709373333333292,0.00711111111111106,0.0694444444444444,0.0145833333333333,0.00400000000000001,0.0111111111111111,0,0,0,0.00711111111111106,0.00711111111111106,0,0.0111111111111111,0.00399999999999997,0.0145833333333333,0,0.00625,0.00933333333333327,0.00933333333333327,0,0,0
"France",0.00399151111111091,0.00888888888888886,0,0.00933333333333327,0.00709373333333292,0.00933333333333327,0.00399151111111091,0,0,0,0.00399999999999997,0.0111111111111111,0.00709373333333292,0.00933333333333327,0.00709373333333292,0.0110006249999976,0.0666666666666667,0.00933333333333327,0,0.0127915111111089,0.0128888888888888,0.0128888888888888,0,0.014486736111109,0.00888888888888886,0.044226666666662,0,0.0128888888888888,0.00399999999999997,0.0106315111111103,0.00933333333333327,0,0.00399151111111091,0.0159826222222218,0.0579469444444361,0.0111111111111111,0.00711111111111106,0.00625,0.00399999999999997,0,0,0.00711111111111106,0.00933333333333327,0,0.00625,0.00711111111111106,0.0166666666666667,0,0.00625,0.00400000000000001,0.00711111111111106,0,0,0
"Germany",0.0127915111111089,0.00930706666666604,0.00933333333333327,0,0.00399999999999997,0.00711111111111106,0.00711111111111106,0,0.00711111111111106,0,0.0159999999999999,0.00625,0.00398293333333295,0.00711111111111106,0.00711111111111106,0,0.0666666666666667,0.00933333333333327,0,0.00711111111111106,0.00711111111111106,0.0106666666666666,0,0.0166666666666667,0.00711111111111106,0.0444444444444444,1.11111111115942e-06,0,0.0128888888888888,0.00711111111111106,0.00392039999999826,0,0.00711111111111106,0.011111111111111,0.0663358333333262,0.00625,0.00711111111111106,0,0.00399999999999997,0,0,0.00399999999999997,0.00880106666666472,0,0.0111111111111111,0.00711111111111106,0.0172233333333303,0,0.00625,4.0000000001732e-07,0.00711111111111106,0,0,0
"Ireland",0,0.00400000000000001,0.00711111111111106,0.00399999999999997,0,0.00399999999999997,0.00711111111111106,0,0.00399999999999997,0,0.00711111111111106,0,0.00888888888888886,0.00933333333333327,0.00707626666666588,0.00625,0.0694444444444444,0.00933333333333327,0,4.0000000001732e-07,0.00399999999999997,0.0127915111111089,0,0.00625,0.00711111111111106,0.0666666666666667,0.0246913580246914,0.00399999999999997,0.00399999999999997,0,0.00399999999999997,0,0.00709373333333292,0.00399151111111091,0.0664469444444397,0.0111111111111111,0.00711111111111106,0,0.0106666666666666,0,0,0.00930706666666604,0.00933333333333327,0,0.00625,0.00399999999999997,0.0145833333333333,0,0.00625,0.00711111111111106,0.00707626666666588,0,0,0
"Israel",0.0128888888888888,0.00930706666666604,0.00933333333333327,0.00880071111110915,0.00400000000000001,0,0.0128888888888888,0,0.00933333333333327,0,0.00930706666666604,0.0111111111111111,0.00711111111111106,0.00711111111111106,0,0.0061256249999973,0.0666666666666667,0.0128803999999998,0,0.00402760000000062,0.00400000000000001,0.0110670666666656,0,0.0145833333333333,0.00709373333333292,0.0666666666666667,0.0358024691358025,0,0.00888888888888886,0.00711111111111106,0.00933333333333327,0,0.00398293333333295,0.00711111111111106,0.0691691666666607,0.0111111111111111,4.0000000001732e-07,0,0.0106666666666666,0,0,0.00888888888888886,0.00399999999999997,0.025925925925926,0.0061256249999973,0.0106315111111103,0.0165839583333315,0,0.00625,0.00933333333333327,0.00400000000000001,0,0,0
"Italy",0.0106666666666666,0.0106315111111103,0.00888888888888886,0.00711111111111106,0,0.00933333333333327,0,0,0.00399999999999997,0,0.00709373333333292,0,0.00933333333333327,0.0217777777777777,0.00399999999999997,0.0061256249999973,0.0583333333333333,0,0,0.00399999999999997,0.00711111111111106,0.00398293333333295,0,0.0165839583333315,0.00933333333333327,0.0666666666666667,0,0.00399999999999997,0.0106666666666666,0.00399999999999997,0.0128888888888888,0,0.00711111111111106,0.00709373333333292,0.0664469444444397,0,0.00711111111111106,0.00625,0.00399999999999997,0,0,0.00711111111111106,0.00392039999999826,0.0197530864197532,0,4.0000000001732e-07,0.0166666666666667,0,0.00625,0.0128803999999998,0.00399999999999997,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",0.00709373333333292,0.00399999999999997,0.00399151111111091,0.00880039999999803,0.00399999999999997,0.00711111111111106,0.00933333333333327,0,0,0,0,0.0145833333333333,0.00399151111111091,0.00711111111111106,0.00399999999999997,0.0111111111111111,0.0666666666666667,0.00928071111110992,0,0.0128888888888888,0.00930706666666604,0.00709373333333292,0,0.0172922916666652,0.00709373333333292,0.0666666666666667,0,0.00711111111111106,0.0181959555555549,0.00392959999999846,0.00399999999999997,0.0111111111111112,0.00711111111111106,0.0159999999999999,0.0694444444444444,0.00625,0,0.0111111111111111,0.00399999999999997,0,0,0.00930706666666604,0.00399999999999997,0.0111111111111112,0,0,0.0173611111111111,0,0.00625,0.00399151111111091,0.00933333333333327,0,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norway",0.00399999999999997,0,0.0127915111111089,0.0106315111111103,0.00399999999999997,0.00933333333333327,0.00888888888888886,0,0.00709373333333292,0,0,0.00625,0,0.00399999999999997,0.00933333333333327,0.00625,0.0666666666666667,0.00933333333333327,0,0.00399999999999997,0.00888888888888886,0.00711111111111106,0,0.0166117361111099,0.00399999999999997,0.0666666666666667,0.0111111111111112,0,0.00711111111111106,0.00399999999999997,0.00400928888888911,0,0.00711111111111106,0.00930706666666604,0.0694444444444444,0.0145833333333333,0.00399999999999997,0,0,0,0,0.00933333333333327,0.00399151111111091,0,0.00625,0.00711111111111106,0.0166666666666667,0,0.00625,0.00888888888888886,0.0159999999999999,0,0,0
"Portugal",0.00625,0.00625,0.0061256249999973,0.00625,0.0145833333333333,0.0172922916666652,0.0165011111111075,0,0.0172922916666652,0,0.0111111111111111,0,0.00625,0.0111111111111111,0.014486736111109,0.0111111111111111,0.0444444444444444,0.014486736111109,0,0.00625,0.00625,0.0166666666666667,0,0.0111111111111112,0.025,0.0583333333333333,0.0666666666666667,0.0165839583333315,0.0173611111111111,0.014486736111109,0.0111111111111111,0,0.0108899999999952,0.00625,0.0583333333333333,0.0111111111111111,0.0309733333333273,0.0108899999999952,0.0166666666666667,0,0,0.0172922916666652,0.00625,0.0666666666666667,0,0.00625,0.0111111111111112,0,1.11111111115942e-06,0,0.0110006249999976,0,0,0
"Spain",0.00930706666666604,0.011111111111111,0.00399999999999997,0.00888888888888886,0.00930706666666604,0,0.00399151111111091,0,0.00888888888888886,0,0.00709373333333292,0.00625,0,0,0.0106666666666666,0.0145833333333333,0.0694444444444444,4.0000000001732e-07,0,0.00711111111111106,0.00399999999999997,0.00399999999999997,0,0.0145833333333333,0.0199999999999999,0.0583333333333333,0,0,0.00888888888888886,0.00933333333333327,0.00399999999999997,0,0.0128888888888888,0.00711111111111106,0.0694444444444444,0,0.0106666666666666,0.00625,0.00711111111111106,0,0,0.00711111111111106,0.00711111111111106,0.0111111111111111,0.0145833333333333,0.00709373333333292,0.0111111111111111,0,0.00625,0,0.00398293333333295,0,0,0
"Sweden",0.00711111111111106,0,0.00933333333333327,0.00399151111111091,0.00933333333333327,0.0128888888888888,0.0128888888888888,0,0.00930706666666604,0,0.00399999999999997,0.0111111111111111,0.00399999999999997,0,0.00933333333333327,0,0.0666666666666667,0.0181959555555549,0,0.011111111111111,0.00399999999999997,0.0159999999999999,0,0.0173611111111111,0.00711111111111106,0.0663358333333262,0.0108899999999952,0.00399999999999997,0.00711111111111106,0.00399151111111091,0,1.11111111115942e-06,0.00711111111111106,0.00709373333333292,0.0666666666666667,0,0.00399999999999997,0,0.0106666666666666,0,0,0.00930706666666604,0,0,0.0111111111111111,0.00933333333333327,0.00625,0,0,0.00399999999999997,0,0,0,0
"Switzerland",4.0000000001732e-07,0.00711111111111106,0.00399999999999997,0.00711111111111106,0.0159826222222218,0.00711111111111106,0.0158937333333309,0,0.00933333333333327,0,0.011111111111111,0.00625,0.00399999999999997,0.00933333333333327,0,0.00625,0.0694444444444444,0,0,0.00399151111111091,0.00399999999999997,0.0106666666666666,0,0.0173611111111111,0.0106666666666666,0.0583333333333333,0.0246913580246914,0.00711111111111106,0.00711111111111106,0.00398293333333295,0.0106666666666666,0,0.00399999999999997,0.00933333333333327,0.0583333333333333,0,0.00888888888888886,0,4.0000000001732e-07,0,0,0.011111111111111,0.00399999999999997,0,0.0165011111111075,0.00711111111111106,0.0110006249999976,0,0.0111111111111111,0.00392959999999846,0.00709373333333292,0,0,0
"The Netherlands",0.00709373333333292,0.00933333333333327,0.0181070666666641,0.0127915111111089,0.00711111111111106,0.00711111111111106,0.0106666666666666,0,0,0,0.00399999999999997,0.014486736111109,0,0.00709373333333292,0.00711111111111106,0,0.0694444444444444,0.00933333333333327,0,0.00711111111111106,0.00399151111111091,0.0110670666666656,0,0.0172922916666652,0.00398293333333295,0.044335833333331,0.025925925925926,0.00933333333333327,0.00711111111111106,0.00711111111111106,0.0106666666666666,0,0.00888960000000001,0.00933333333333327,0.044335833333331,0,0.0128888888888888,0.0061256249999973,0.00711111111111106,0,0,0.00933333333333327,0.00711111111111106,0,0,0.00933333333333327,0.014486736111109,0,0.0061256249999973,0.0128803999999998,0.00399151111111091,0,0,0
"Turkey",0.0663358333333262,0.0583333333333333,0.0666666666666667,0.0583333333333333,0.0583333333333333,0.0694444444444444,0.0249469444444433,0,0.0666666666666667,0,0.0583333333333333,0.0660044444444301,0.0664469444444397,0.0664469444444397,0.0444444444444444,0.0688933333333214,0,0.0583333333333333,0,0.0663358333333262,0.0581691666666631,0.0583333333333333,0,0.0583333333333333,0.0666666666666667,0.0666666666666667,0.0580044444444374,0.0580044444444374,0.0666666666666667,0.0583333333333333,0.044335833333331,0,0.0249469444444433,0.0581691666666631,0,0.0583333333333333,0.0666666666666667,0.0664469444444397,0.0694444444444444,0,0,0.0691691666666607,0.0694444444444444,0.0583333333333333,0,0.0694444444444444,0.0664469444444397,0,0,0.0583333333333333,0.0664469444444397,0,0,0
"United Kingdom",0.0127915111111089,0.0106666666666666,0.00399999999999997,0.00933333333333327,0.00399999999999997,0.00709373333333292,0.0128888888888888,0,0.00399999999999997,0,0.00398293333333295,0.0309733333333273,0.011111111111111,0.00709373333333292,0.00888928888888888,0.00625,0.0691691666666607,0,0,0.00711111111111106,0.00709373333333292,0.00400928888888911,0,0.014486736111109,0.00399999999999997,0.0583333333333333,0.0111111111111112,0.00399999999999997,0.0106666666666666,0.00930706666666604,0.00888888888888886,0.0108899999999952,0.00933333333333327,0.00709373333333292,0.0694444444444444,0.0166666666666667,0.00711111111111106,0.00625,0.00933333333333327,0,0,0.00930706666666604,0.00399999999999997,0,0,4.0000000001732e-07,0.0111111111111111,0,0.0061256249999973,0.0159999999999999,0.011111111111111,0,0,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austria",0.00709373333333292,0.00399151111111091,0,0.00933333333333327,0.0106666666666666,0.00930706666666604,0.00888888888888886,0,0.00399999999999997,0,0.00399999999999997,0.0145833333333333,0.00400000000000001,0.00711111111111106,0,0,0.0581691666666631,0.0106666666666666,0,0,0.0177777777777777,0.011111111111111,0,0.03125,0.00933333333333327,0.0666666666666667,0,0,0.00933333333333327,0.00933333333333327,0.0106666666666666,0.011087530864197,0,0,0.0666666666666667,0,0.00711111111111106,0.0061256249999973,0.0106666666666666,0,0,0.011111111111111,0.00933333333333327,0.0108899999999952,0.0111111111111111,0.00711111111111106,0.0166666666666667,0,0,0.00399999999999997,0.00933333333333327,0,0,0
"Greece",0.00933333333333327,0.00399151111111091,0.00933333333333327,0.00888888888888886,0.00398293333333295,0.00711111111111106,0,0,0.00888928888888888,0,0.00399151111111091,0.0165839583333315,0.00711111111111106,0.0127915111111089,0,0.00625,0.0664469444444397,0.0106666666666666,0,0.00399999999999997,0,7.11111111141903e-07,0,0.0248066666666625,0.00933333333333327,0.0664469444444397,0,0.00888928888888888,0.0128888888888888,0.00709373333333292,0.00711111111111106,0,0.0106666666666666,0.0106666666666666,0.0666666666666667,0.0111111111111111,0.00933333333333327,0.0061256249999973,0.00888888888888886,0,0,0.00711111111111106,0.00711111111111106,0.0111111111111112,0.00625,0.00399999999999997,0.0172922916666652,0,0,0.00711111111111106,0.00711111111111106,0,0,0
"Denmark",0.0110670666666656,0.00400000000000001,0,0.0110670666666656,0.00888888888888886,0.0106666666666666,0.00933333333333327,0,0.00933333333333327,0,0.00933333333333327,0.00625,0.0128888888888888,0.0106666666666666,0.00711111111111106,0.0061256249999973,0.0666666666666667,0.00933333333333327,0,0.00933333333333327,0.0159999999999999,0,0,0.0166666666666667,0.00399999999999997,0.0580044444444374,0,0.00933333333333327,0.0106666666666666,0.00711111111111106,0.00933333333333327,0.0244455555555502,0.011111111111111,0.00711111111111106,0.0666666666666667,0.0111111111111111,0.00399999999999997,0.00625,0.00888888888888886,0,0,0.00399999999999997,0,0.0111111111111111,0.0111111111111111,0.0158937333333309,0.014486736111109,0,0.00625,0.00711111111111106,0.00399999999999997,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",0.0166666666666667,0.014486736111109,0.0166666666666667,0.0166666666666667,0.0111111111111111,0.0166666666666667,0.0145833333333333,0,0.0145833333333333,0,0.0172922916666652,0.0197530864197532,0.0145833333333333,0.0145833333333333,0.0165839583333315,0.0108899999999952,0.044335833333331,0.0110292361111094,0,0.0145833333333333,0.0111111111111111,0.0173611111111111,0,0,0,0.0666666666666667,0,0.0166666666666667,0.0111111111111111,0.0110839583333328,0.0145422916666658,0.0664469444444397,0.0111111111111111,0.0172922916666652,0.0666666666666667,0.0111111111111112,0.0145833333333333,0.0358024691358025,0.00625,0,0,0.0166666666666667,0.0166666666666667,0.0195566666666624,0.0111111111111112,0.00625,0.0110006249999976,0,0,0.0166666666666667,0.0166666666666667,0,0,0
"Iceland",0.00711111111111106,0.00888928888888888,0.00399999999999997,0.0182222222222221,0.00399999999999997,0.00711111111111106,0.00930706666666604,0,0.00709373333333292,0,0.00888888888888886,0.00625,0.00711111111111106,0.00709373333333292,0.00399151111111091,0,0.0666666666666667,0.00711111111111106,0,0.0128888888888888,0.00711111111111106,0.0159999999999999,0,0.0145833333333333,0,0.0581691666666631,0.0197530864197532,0.00711111111111106,0.0128888888888888,0.00711111111111106,0.00711111111111106,0,0.00933333333333327,0.00399999999999997,0.0581691666666631,0,0.00933333333333327,0,0.0128888888888889,0,0,0.00709373333333292,0.0128888888888888,0,0.0061256249999973,0.00933333333333327,0.0248066666666625,0,0.014486736111109,0.0106666666666666,0.00888888888888886,0,0,0
